contentid,contenttypeid,booktour,createdtime,homepage,modifiedtime,tel,telname,title,firstimage,firstimage2,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview,accomcount,chkbabycarriage,chkcreditcard,chkpet,expagerange,expguide,heritage1,heritage2,heritage3,infocenter,opendate,parking,restdate,useseason,usetime
2611482,12,0,20190717111103,"<a href=""http://www.yangcheon.go.kr/site/yangcheon/ex/bbs/List.do?cbIdx=353"" target=""_blank"" title=""새창:  느티나무 홈페이지로 이동"">http://www.yangcheon.go.kr</a>",20210723165419,,,150년 수령 느티나무,http://tong.visitkorea.or.kr/cms/resource/79/2611479_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2611479_image2_1.jpg,1,19,A01,A0102,A01020100,서울 양천구 목4동 760-28,,,126.8687929466,37.5376861919,6.0,"수령 150년된 느티나무 고목으로 이 느티나무는 이곳이 대규모 주택단지로 변모하기 이전에도 마을이 존재했었다는 하나의 증표가 되고 있다. 지금으로부터 150년 전 뜻있는 나말(목4동의 옛이름)마을의 주민이 식재하여 현재에 이르고 있으며 6.25사변때는 폭격을 받아 고사상태였으나 새순이 움트는 등 각종 재해를 극복하고 잘자라고 있으며, 높이 10m 둘레 278cm로 건강을 빌면 이루어진다고 하였으며 함부로 훼손하면 저주를 받고 큰 재앙이 뒤따라서 오래전부터 잘 보호하여 현재까지 살아있는 마을의 수호신으로 받들여 지고 있다.<br>",,없음,없음,없음,,,0.0,0,0.0,02-2620-3407,,,연중무휴,,
1825057,12,0,20130703234030,"<a href=""http://mfis.mpva.go.kr/main/main.do"" target=""_blank"" title=""새창 : 국가보훈처 현충시설 홈페이지로이동"">http://mfis.mpva.go.kr</a>",20220629164958,,,3.1독립선언기념탑,http://tong.visitkorea.or.kr/cms/resource/97/2413897_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2413897_image3_1.jpg,1,14,A02,A0205,A02050200,서울특별시 서대문구 통일로 251,,03732,126.9556062153,37.5745084649,6.0,1919년 3월 1일 오후 2시 손병희 등 민족대표들은 태화관에서 독립선언식을 거행하고 독립만세를 삼창함으로써 거족적인 3.1독립만세운동의 불을 지폈다.3.1독립선언기념탑은 이날의 숭고한 자주독립정신을 기리기 위하여 1963년 8월 15일에 당시 재건국민운동본부 주관으로 온 국민의 성금을 모금하여 3.1독립만세운동의 현장이었던 탑골공원에 건립되었다. 그러나 1979년 탑골공원의 정비사업으로 철거되어 12년간 방치되었다가 각 계에서 복원의 목소리가 높아지자 1992년에 항일 독립운동의 터전인 서대문 독립공원으로 옮겨 세우게 되었다. 탑의 높이는 4.2m이며 탑 뒤에는 3.1독립선언문과 손병희 등 독립만세운동을 주도한 민족대표 33인의 이름이 판각되어 있다.<br>,,없음,없음,불가,,,0.0,0,0.0,1577-0606,,있음,연중개방,,상시 개방
1825460,12,0,20130705013113,,20220704131556,,,3.1독립운동기념탑,http://tong.visitkorea.or.kr/cms/resource/93/1984593_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/1984593_image3_1.jpg,1,24,A02,A0205,A02050200,서울특별시 중구 장충단로 91,(장충동2가) 부근,04621,127.0015748587,37.5529562386,6.0,"3.1독립운동기념탑은 일본 제국주의의 잔혹한 식민통치로부터 조국과 민족의 독립을 위해 전개된 3.1독립운동의 숭고한 정신을 계승ㆍ발전시켜 널리 국민들의 호국애족정신을 고양하고자 온 겨레의 정성을 모아 중구 장충동 남산공원에 건립되었다.1998년 8월 15일 대한민국 정부수립 제50주년 기념일에 착공하여 3.1독립운동 80주년 기념일인 1999년 3월 1일 준공하였으며, 탑의 높이가 19m 19cm로 이는 3.1독립운동의 거사일인 1919년을 의미한다. 3.1독립운동은 세계 최초의 비폭력 평화운동이며 세계 최초의 천도교ㆍ기독교ㆍ불교의 종교연합운동으로 중국의 5ㆍ4운동, 인도의 무저항운동을 비롯하여 전세계 비폭력 평화운동의 시발점이 되었다.<br /><br />* 건립자 - 광복회(3.1독립운동기념탑건립위원회)<br>",,없음,없음,없음,,,0.0,0,0.0,1577-0606,,,연중무휴,,
127699,12,0,20031001090000,"<a href=""https://www.63art.co.kr/home/63ART/main.do"" target=""_blank"" title=""63빌딩 사이트로 이동"">https://www.63art.co.kr</a>",20220228155700,,,63스퀘어,http://tong.visitkorea.or.kr/cms/resource/86/2526386_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2526386_image2_1.jpg,1,20,A02,A0205,A02050600,서울특별시 영등포구 63로 36,,07345,126.9403285961,37.5198673186,6.0,"63스퀘어는 대한민국 서울특별시 영등포구의 여의도에 있는 마천루이다. 지상 60층, 지하 3층의 규모이며, 지상높이 249미터 (해발 264미터)이다. 연 면적 16만㎡에 이르는 하늘로 솟아오른 공간에 갖가지 명소들을 안고 있어 서울의 상징적인 관광명소로 손꼽힌다. 서울의 젖줄인 한강이 멀리 광나루부터 행주대교까지 한눈에 내려다보이고  남산과 북악산, 관악산을 마주 바라보고 있다. 또, 서울의 강남은 물론 강북 전역이 한 눈에 들어오고, 특히 저녁 시간 서해로 지는 노을과 강 양쪽을 끼고 이어지는 강변로의 차량 불빛은 63스퀘어의 조망 중 절경으로 꼽는다.",,없음,가능,불가,,,0.0,0,0.0,1833-7001,1985년 7월 27일,있음(약 800여 대 가능),연중무휴,,※ 월별로 운영시간 다르므로 홈페이지 참조
2614315,12,0,20190806154629,"<a href=""https://blog.naver.com/playzone1"" target=""_blank"" title=""새창:AHC 스파 
"">https://blog.naver.com/playzone1</a>",20211213094825,,,AHC스파,http://tong.visitkorea.or.kr/cms/resource/05/2614305_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/05/2614305_image2_1.bmp,1,1,A02,A0202,A02020300,서울특별시 강남구 도산대로 237,(신사동),06026,127.0330284328,37.5217715371,6.0,"한국의 K뷰티를 알리고 있는 AHC 코스메틱으로만 케어해 드리고 있는 AHC스파입니다. AHC가 특별한 원료나 공법에만 의존하지 않고, 치열하게 고민하고 연구하여 마침내 찾아낸 AHC만의 특별한 피부해법은 바로 에스테밸런스 입니다. 앞선 피부과학과 최적의 성분배합기술 그리고 고객의 피부에 꼭 맞는 미용법을 추구하는 AHC의 뷰티 키워드 에스테밸런스. 사람마다 다른 다양한 피부의 문제를 근본적으로 개선해주고, 피부 본래의 건강한 변화를 끌어내는 내안에 있는 최고의 아름다움을 발견하는 특별한 경험 입니다. 뷰티 한류의 대표적인 리딩 기업 AHC의 스파는 도산사거리에 위치하여 관광객의 핫 스폿인 압구정동과 가로수길을 관광하면서 경험해보고 싶었던 AHC만의 노하우를 경험하고 1층에서는 제품구매가 가능하며 2층의 헤어샵 서비스도 이용가능한 뷰티 핫 플레이스 입니다.<br>",,없음,없음,없음,,,0.0,0,0.0,02-541-8239,,,매주 월요일 휴무,,10:00 ~ 21:00
2453089,12,0,20161213005909,"<a href=""http://www.sba.seoul.kr/kr/sbst15h1#business03""target=""_blank"" title=""DMC 홍보관"">http://www.sba.seoul.kr/kr/sbst15h1#business03</a>",20220519094924,,,DMC 홍보관,,,1,13,A02,A0204,A02040800,서울특별시 마포구 월드컵북로 366,(상암동),03926,126.8922007935,37.5777791714,6.0,"<strong>첨단과 예술 사이, DMC 홍보관 </strong><br /><br />DMC 홍보관은 디지털미디어시티사업을 종합적으로 안내하기 위해 조성되었다. 2층 공간에는 DMC 사업을 한 눈에 볼 수 있는 홍보전시실과 3D 입체영상관, 입주기업체험공간으로 구성되어 있다. 3층에서는 1인 미디어산업 활성화를 위한 1인 미디어(MCN) 체험관이 2017년부터 운영되고 있다. 그동안 DMC 홍보관은 DMC 토지공급을 위한 투자자 대상 사업홍보와 분양 안내장소로 활용되어 왔으나 DMC 내 토지 공급이 마무리 단계에 들어서면서 입주민과 시민을 위한 문화중심시설로 변화하고 있다.<br>",관람 최대인원 15명,없음,없음,없음,누구나,"* 전시 : DMC 전시관, 3D 입체 영상관, 입주기업 기술체험 전시</br>
* 인 미디어(MCN) 체험관 : MCN쇼룸 MCN제작체험 공간(영상제작, 종합편집실, 성우체험실, 청각실, 쇼룸 등 운영), MCN 네트워킹 공간</br>
- 1인 미디어 체험은 단체 예약만 가능(10명 이상, 전화문의) / 월~금 운영
* 신청방법 : http://dmc.seoul.kr > DMC 홍보관",0.0,0,0.0,02-2222-3827,,있음,일요일 및 공휴일,,월~토 10:00~17:00 (일요일 및 공휴일 휴무)
2673808,12,0,20200922151034,"G밸리 4차산업체험관 <a title=""새창: G밸리 4차산업체험관 홈페이지로 이동"" href=""http://www.gtour.or.kr/"" target=""_blank"">http://www.gtour.or.kr/</a>",20211216132710,,,G밸리 4차산업체험관,http://tong.visitkorea.or.kr/cms/resource/79/2672779_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2672779_image3_1.jpg,1,7,,,,서울특별시 구로구 디지털로26길 111,"(구로동), B1층",08390,126.8970558093,37.4826069844,6.0,"<strong>4차산업에 맞춰 4가지 체험 (드론, 코딩, VR, 3D 프린팅)과 산업관광 운영 </strong><br /><br />제4차산업체험센터에서는 한 공간에 4개의 제4차산업혁명을 대표하는 기술과 체험을 준비하여 드론, 코딩, VR 3D프린팅의 원리를 이해하고, 기초 실습과 관련 시뮬레이션을 진행하고있다. 이를 바탕으로 실제 응용해 볼 수 있는 커리큘럼들이 준비되어 참여자들은 개별체험을 통하여 스스로 심화하고, 이를 다양한 분야에 적용할 수 있는 통찰을 경험할 수 있도록한다.<br /><br />산업관광이란, 기업체의 생산현장이나 홍보시설 등을 활용한 관광 콘텐츠를 말하며, 이를 통해 직간접적인 비즈니스 를 연계하고, 관련 산업의 활성화를 지원하는 새로운 형식의 산업과 관광을 합친 컨텐츠이다. 이러한 산업관광을 통해 참가자들 (관광객, 지역주민, 학생 등등)은 산업적 배움과 더불어 재미있는 새로운 볼거리와 체험거리를 경험할 수 있는 기회를, 기업과 국내 및 해외 바이어들은 기업의 우수성을 홍보할 수 있는 기회를 제공한다.<br>",각 체험 당 1명~최대 10명,없음,가능,없음,유치원생~성인,"코딩, 드론, 3D 프린터, VR, 산업관광",0.0,0,0.0,070-4756-4241,,주차 가능 (약 300대 이상 주차 가능),연중무휴,,개관 9:00~17:00  / 각 체험 당 1시간
2553947,12,0,20180717113143,"<a href=""http://www.ssfc.or.kr/main/main.php"" target=""_blank"" title=""새창 : 한국패션산업협회 홈페이지로 이동"">http://www.ssfc.or.kr/main/main.php</a>",20210907143135,,서울특별시/금천구/서울디자인재단,G밸리 패션지원센터,,,1,8,A02,A0204,A02040800,서울특별시 금천구 디지털로10길 9,(가산동) 현대시티아울렛 가산점,08514,126.8891816663,37.4776102021,6.0,"남부권 G밸리 패션지원센터는 일감부족, 인력부족, 고령화 등의 패션 산업의 문제점을 해결하고, 패션제조업체의 자생력을 확보하여 남부권 패션산업 활성화 공헌을 위해 설립되었다.",,없음,없음,없음,,"라운드런웨이, 포토스튜디오, 회의공간",0.0,0,0.0,02-2136-4740,,있음,주말 및 공휴일 대관 불가능,,평일 10:00 ~ 17:00
2553928,12,0,20180717193959,"<a title=""새창 : JTBC 이동"" href=""http://jtbc.joins.com/company/jtbctour"" target=""_blank"">
http://jtbc.joins.com/company/jtbctour</a>",20220421141527,,,JTBC,,,1,13,A02,A0204,A02040800,서울특별시 마포구 상암산로 48-6,(상암동) JTBC빌딩,03909,126.8900787865,37.5769958913,6.0,"시청자의 마음을 사로잡는 방송국, JTBC에 견학을 가보자. 부조정실, 이슈존, JTBC갤러리, 뉴스룸 스튜디오를 견학하며 방송국의 이곳저곳을 둘러볼 수 있다. 다양한 프로그램의 생생한 모습을 직접 확인할 수 있는 기회를 놓치지 말자.<br>",5~15명 단체,없음,없음,없음,14세 이상,"* 견학코서: 1층 라운지(집결) → 부조정실 → 이슈존 → JTBC Gallery → 뉴스룸 스튜디오<br />
* 신청방법 : http://jtbc.joins.com/company/jtbctour > 견학신청",0.0,0,0.0,02-751-6000,,있음,,,"월~금 10:00, 15:00"
2469936,12,0,20161228184139,"<a href=""http://corp.kt.com/html/promote/culture/square.html"" target=""_blank"" title=""새창 : KT스퀘어 홈페이지로 이동"">    http://corp.kt.com/html/promote/culture/square.html</a>",20220613102316,,,KT스퀘어,http://tong.visitkorea.or.kr/cms/resource/70/1334870_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/1334870_image3_1.jpg,1,23,A02,A0204,A02040800,서울특별시 종로구 세종대로 178 KT 광화문 빌딩 West,1층,03154,126.9778070347,37.5722035751,6.0,"KT가 만든 복합문화공간으로 최신 IT기기 체험은 물론 다양한 문화공연을 감상할 수 있다. 대한민국의 130년 통신사를 한눈에 볼 수 있는 'Gallery 130' , KT의 5G 기술을 직접 체험할 수 있는 '일상이상'으로 구성되어 있다.<br>",최대 20명(추가인원 협의),없음,없음,없음,누구나,"* 시설 : 드림홀(공연장), 갤러리, 카페, 데크 라운지, 서비스라운지 등<br />
* 전시 : Future Gallery, Gallery 130 등에서 상설전시프로그램 관람<br />
* 공연 : Dream Hall에서 다양한 장르의 공연, 무료강연, 토크쇼 및 매월 마지막 주 수 문화가 있는 날 행사<br />
* 투어 : 갤러리 투어는 전문 큐레이터와 함께 올레스퀘어 내부 주요시설을 둘러보고 국내 통신 산업의 역사와 전통을 관람하는 형태로 진행(소요시간 : 20~40분)<br>
* 신청방법 : https://corp.kt.com > 홍보센터 > 문화 > KT스퀘어 > 투어신청",0.0,0,0.0,1577-5599,,주차 불가,연중무휴,,09:00~20:00 (주말 및 공휴일 동일)
